yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
006800.KS,006800,미래에셋증권,243691,43450.0,42946.135,1.1732487684863795,83800.0,-48.15035799522673,31.026252983272826,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,76.41,11.79,9.62,10.0,1.8,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,292830.0,19151.0,15829.0,6.54,5.41,-68609.61,-69186.45,16980.57,1368057.27,-1351076.7,OpenDART,2025,CFS,11011,0.13,126.19,2026-06-29,4.25,12,6,12,20,15,10,3,3,81,A,32
000150.KS,000150,두산,239344,1479000.0,1065230.0,38.843254508416024,2203000.0,-32.86427598729006,44.930875576036144,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,220.26,20.75,67.0,11.98,4.99,169.14,9.11,5.87,,-,197841.0,10627.0,2495.0,5.37,1.26,9819.08,834.83,49279.03,206934.67,-157655.64,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,33
010130.KS,010130,고려아연,234820,1125000.0,1369015.0,-17.82412902707421,2115000.0,-46.808510638297875,41.869158878503576,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,319.09,54.23,28.19,18.0,2.05,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,165879.0,12319.0,7702.0,7.43,4.64,-6282.11,-15712.09,34510.7,92115.02,-57604.32,OpenDART,2025,CFS,11011,0.06,21.41,2026-06-29,4.25,8,3,6,20,12,10,5,3,67,B,34
051910.KS,051910,LG화학,217424,305500.0,342275.0,-10.744284566503543,429500.0,-28.870779976717113,44.97607655502092,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,29.2,37.33,92.0,0.69,-5.5,114.54,-5.68,34.98,,-,459322.0,11809.0,-9771.0,2.57,-2.13,82338.59,-56228.12,98999.26,539561.16,-440561.9,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,10,0,0,0,0,5,5,20,D,35
011070.KS,011070,LG이노텍,216554,912000.0,404845.5,125.27112194652035,1530000.0,-40.3921568627451,34.49720670390994,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-24.04,12.45,22.95,26.0,3.56,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,218966.0,6650.0,3413.0,3.04,1.56,13314.02,5768.74,14064.03,61678.29,-47614.26,OpenDART,2025,CFS,11011,,-22.3,2026-06-29,4.25,0,0,6,0,0,0,3,5,14,D,36
010140.KS,010140,삼성중공업,215160,24500.0,26783.5,-8.525771463774339,34400.0,-28.77906976744186,44.852941176424416,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,749.32,97.29,28.95,20.0,4.63,13.73,265.05,7.54,71.51,,73 -> 620,106500.0,8622.0,5358.0,8.1,5.03,15628.49,13465.94,7726.15,108538.31,-100812.16,OpenDART,2025,CFS,11011,0.03,,2026-06-29,4.25,4,0,12,20,0,10,5,5,56,B,37
316140.KS,316140,우리금융지주,213616,29100.0,29818.75,-2.410396143366171,40800.0,-28.676470588235293,44.943820224648405,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,1.86,4.73,45.51,7.0,0.56,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,136423.91,131352.22,384996.79,5635980.38,-5250983.59,OpenDART,2025,CFS,11011,3.76,11.6,2026-06-29,4.25,15,10,6,0,8,2,5,5,51,C,38
064350.KS,064350,현대로템,201804,185000.0,206986.0,-10.621974433053444,269000.0,-31.226765799256505,51.62337662337077,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,89.24,19.33,37.44,22.0,6.27,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,58390.0,10056.0,7705.0,17.22,13.2,9043.13,7478.41,9084.14,62768.0,-53683.86,OpenDART,2025,CFS,11011,0.25,118.7,2026-06-29,4.25,4,0,20,20,15,10,5,5,79,A,39
017670.KS,017670,SK텔레콤,193740,90700.0,72030.5,25.91888158488418,125200.0,-27.55591054313099,21.766561514185966,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-67.28,15.89,76.76,16.0,1.45,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,170992.0,10732.0,3751.0,6.28,2.19,39238.47,16005.95,14900.24,171524.91,-156624.67,OpenDART,2025,CFS,11011,,-38.32,2026-06-29,4.25,8,6,0,0,0,0,1,5,20,D,40
011200.KS,011200,HMM,181290,19170.0,20598.95,-6.937004070595834,25950.0,-26.1271676300578,50.96251266456803,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-61.33,8.23,7.74,14.0,0.65,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,108914.0,14612.0,18787.0,13.42,17.25,33051.31,17064.29,17607.67,69918.56,-52310.89,OpenDART,2025,CFS,11011,,3.39,2026-06-29,4.25,8,10,6,0,4,0,5,5,38,D,41
