yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peg,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
105560.KS,105560,KB금융,614319,,-,KOSPI,주권,KRX,173900.0,140139.0,24.091080998151835,173200.0,0.40415704387990764,61.55778894470197,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,18.98,6.51,80.06,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.51,27.0,4367.0,15777.74,OpenDART,14.1,4.0,False,,,,,,,,,15.41,2025.0,11011.0,4.0,OpenDART,12.67,1.48,11.49,17,0.47,-28.97,-35.81,,,,,기타 금융업,기타 금융업,2026-07-07,4.5,12,8,6,20,12,8,3,0,69,B,11
000270.KS,000270,기아,600064,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,152700.0,140852.5,8.411281304911165,206000.0,-25.873786407766993,41.34615384614589,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-21.72,5.03,38.72,7.0,0.89,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,4.45,34.9,6800.0,26424.99,OpenDART,22.7,5.0,False,,,,,,,,,-6.31,2025.0,11011.0,5.0,OpenDART,9.5,0.98,10.66,2,,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-07,4.5,15,8,12,0,0,0,5,5,45,C,12
329180.KS,329180,HD현대중공업,579385,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,549000.0,572882.5,-4.168830432069404,745000.0,-26.308724832214764,21.189591078065817,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,124.28,179.12,13.88,21.0,6.64,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.03,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,,,,,,,,,651.55,2025.0,11011.0,2.0,OpenDART,20.33,5.26,18.38,3,0.17,3.3,26.24,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-07,4.5,4,0,16,20,15,10,1,5,71,A,13
012450.KS,012450,한화에어로스페이스,578541,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1108000.0,1150225.0,-3.6710208872177184,1537000.0,-27.911515940143133,40.34090909090803,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-38.13,15.96,45.35,26.0,5.64,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.63,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,,,,,,,,,34.11,2025.0,11011.0,4.0,OpenDART,35.0,6.85,14.82,2,,,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-07-07,4.5,0,0,16,0,15,0,5,5,41,C,14
034020.KS,034020,두산에너빌리티,522697,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,80600.0,90763.5,-11.197783249874673,136400.0,-40.909090909090914,24.28571428570619,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-24.14,284.35,24.14,194.0,7.06,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,,,,,,23.18,,,,,194.0,7.06,1.11,1,,,,OpenDART,2025.0,CFS,11011,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-07,4.5,0,0,0,0,12,0,1,5,18,D,15
055550.KS,055550,신한지주,515474,,금융지주회사,KOSPI,주권,KRX,109900.0,86752.5,26.68222817786231,108600.0,1.1970534069981584,59.07590759073179,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,15.39,5.95,61.69,8.0,0.77,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.36,25.06,2590.0,12457.3,OpenDART,7.22,5.0,False,,,,,,,,,9.58,2025.0,11011.0,5.0,OpenDART,12.67,1.48,11.49,17,0.52,-36.86,-47.97,,,,,기타 금융업,기타 금융업,2026-07-07,4.5,15,10,6,20,8,8,3,0,70,A,16
034730.KS,034730,SK,453866,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,616000.0,368780.0,67.03725798579099,858000.0,-28.205128205128204,43.00341296928225,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,,11.73,29.67,6.0,1.42,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.3,27.6,8000.0,4407.19,OpenDART,0.0,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,12.67,1.48,11.49,17,,-52.64,-4.05,,,,,기타 금융업,기타 금융업,2026-07-07,4.5,15,6,6,0,0,0,5,5,37,D,17
012330.KS,012330,현대모비스,449126,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,487000.0,420542.5,15.802802332701212,768000.0,-36.58854166666667,21.548117154810456,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-8.74,7.12,36.87,11.0,0.87,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.33,15.9,6500.0,5797.54,OpenDART,12.91,5.0,False,,,,,,,,,4.5,2025.0,11011.0,5.0,OpenDART,11.0,0.87,7.68,1,,,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-07-07,4.5,12,8,6,0,4,0,1,5,36,D,18
068270.KS,068270,셀트리온,414410,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,177400.0,184593.685,-3.897037431155891,236861.0,-25.10375283394058,52.452316076284276,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,148.85,65.74,24.47,28.0,2.27,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,2.0,True,,,,,,,,,15.32,2025.0,11011.0,2.0,OpenDART,30.5,5.21,12.69,2,0.19,,,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-07,4.5,0,3,6,20,12,10,5,5,61,B,19
006400.KS,006400,삼성SDI,358605,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,437000.0,395712.0,10.433850881449134,712000.0,-38.62359550561798,34.23423423423279,nxt_web_latest,NXT 체결가,2026-07-07 22:40 KST,,,-70.17,22.94,26.25,118.0,1.71,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,4.0,True,,,,,,,,,,,,4.0,OpenDART,432.0,3.01,-2.47,3,,-72.69,-43.19,OpenDART,2025.0,CFS,11011,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-07,4.5,0,6,0,0,0,0,3,5,14,D,20
