yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
095610.KQ,095610,테스,35486,183300.0,69356.5,164.28669266759422,183400.0,-0.05452562704471102,66.75291073738076,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,33.69,92.12,10.36,36.0,7.93,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,,,,,,1.07,504.31,2026-06-26,4.25,0,0,16,10,15,10,1,0,52,C,17
214370.KQ,214370,케어젠,34699,63900.0,84432.5,-24.318242382968645,150100.0,-57.42838107928048,46.81978798585415,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-37.87,92.25,3.69,148.51,14.72,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,,,,,,,-29.05,2026-06-26,4.25,0,0,6,0,0,0,5,3,14,D,18
347850.KQ,347850,디앤디파마텍,34509,78200.0,76576.2,2.120502192587257,111200.0,-29.676258992805753,49.527806925491156,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,6.77,,45.65,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,5,10,D,19
108490.KQ,108490,로보티즈,34013,234500.0,247628.82,-5.301814223400978,405000.0,-42.098765432098766,34.07202216066217,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,691.83,7.48,345.0,9.53,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,5,8,D,20
214450.KQ,214450,파마리서치,33662,324000.0,410367.5,-21.04637916014304,711000.0,-54.43037974683544,75.79365079364237,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,65.07,24.5,8.88,17.0,5.38,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,,,,,,0.26,37.82,2026-06-26,4.25,8,0,20,20,15,10,1,3,77,A,21
310210.KQ,310210,보로노이,31462,169800.0,231188.5,-26.553440158139352,363500.0,-53.28748280605227,46.377840909086295,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,6.52,,33.85,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,5,3,8,D,22
145020.KQ,145020,휴젤,31067,251000.0,257917.5,-2.682059185592292,388000.0,-35.30927835051546,60.51502145922019,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,3.3,21.91,57.94,18.0,2.72,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,,,,,,5.45,22.87,2026-06-26,4.25,8,3,16,0,12,2,3,5,49,C,23
214150.KQ,214150,클래시스,29486,45200.0,54328.75,-16.80279778202149,75600.0,-40.21164021164021,57.72946859899478,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,32.76,30.47,70.76,17.0,5.64,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,,,,,,0.52,32.57,2026-06-26,4.25,8,0,20,20,15,10,3,5,81,A,24
064760.KQ,064760,티씨케이,28116,253000.0,205184.0,23.303961322520276,348500.0,-27.403156384505024,57.400722021654836,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-2.77,18.81,67.26,26.0,5.32,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,,,,,,,6.91,2026-06-26,4.25,0,0,12,0,4,0,3,5,24,D,25
005290.KQ,005290,동진쎄미켐,28033,55100.0,46178.75,19.318950816122136,66000.0,-16.515151515151516,58.434547908210035,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-35.98,13.86,15.48,21.78,2.49,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,,,,,,,-11.78,2026-06-26,4.25,4,3,6,0,0,0,3,5,21,D,26
