yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
214150.KQ,214150,클래시스,32193,49200.0,54314.5,-9.416454169696859,75600.0,-34.92063492063492,60.85011185678515,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,32.76,30.47,70.64,18.0,6.16,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,OpenDART,2025,CFS,11011,0.55,32.57,2026-06-29,4.25,8,0,20,20,15,10,3,5,81,A,25
064760.KQ,064760,티씨케이,29681,267000.0,205964.0,29.634305024178982,348500.0,-23.38593974175036,54.61538461537873,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-2.77,18.81,67.39,27.0,5.62,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,OpenDART,2025,OFS,11011,,6.91,2026-06-29,4.25,0,0,12,0,4,0,5,5,26,D,26
031980.KQ,031980,피에스케이홀딩스,29044,135800.0,78268.0,73.50641386007052,152300.0,-10.833880499015102,53.99835119537712,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-4.32,11.02,6.62,22.0,5.69,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,OpenDART,2025,CFS,11011,,46.54,2026-06-29,4.25,4,0,16,0,15,0,5,5,45,C,27
005290.KQ,005290,동진쎄미켐,28594,56100.0,46309.5,21.141450458329285,66000.0,-15.0,53.75375375373116,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-35.98,13.86,15.54,22.22,2.54,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,OpenDART,2025,CFS,11011,,-11.78,2026-06-29,4.25,4,3,6,0,0,0,5,5,23,D,28
237690.KQ,237690,에스티팜,28170,134800.0,125670.0,7.2650592822471545,168700.0,-20.09484291641968,63.14152410574053,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,52.02,53.05,13.23,41.0,4.6,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,OpenDART,2025,CFS,11011,0.79,61.23,2026-06-29,4.25,0,0,12,16,15,10,3,5,61,B,29
319400.KQ,319400,현대무벡스,28011,25850.0,22959.775,12.588211339179056,46350.0,-44.228694714131606,32.422586520930636,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-56.77,99.75,1.93,279.44,17.84,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,OpenDART,2025,CFS,11011,,65.83,2026-06-29,4.25,0,0,6,0,15,0,3,5,29,D,30
357780.KQ,357780,솔브레인,26641,346000.0,344357.5,0.47697523649114654,501000.0,-30.938123752495013,49.999999999997954,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-33.25,18.26,26.29,18.0,2.41,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,OpenDART,2025,CFS,11011,,-22.12,2026-06-29,4.25,8,3,6,0,0,0,5,5,27,D,31
089970.KQ,089970,브이엠,26283,107800.0,38574.25,179.46103942396806,107600.0,0.18587360594795538,66.70441676103133,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,29.68,14.29,33.0,13.5,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,16,0,0,0,1,0,17,D,32
290650.KQ,290650,엘앤씨바이오,25405,93700.0,67079.75,39.68448004054875,118300.0,-20.794590025359255,62.11901306239667,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,192.78,8.73,21.99,,11.43,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,10,3,5,18,D,33
131290.KQ,131290,티에스이,24777,224500.0,103563.75,116.77469191681453,270500.0,-17.005545286506468,52.770448548808766,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-10.0,1517.12,11.34,34.39,5.82,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,OpenDART,2025,CFS,11011,,1672.52,2026-06-29,4.25,0,0,12,0,15,0,5,5,37,D,34
