yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,cagr,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
298040.KS,298040,효성중공업,253720,,-,KOSPI,주권,KRX,2752000.0,2686000.0,3086100.0,3123608.3333333335,2728650.0,0.8557345207336962,4601000.0,-40.18691588785047,58.85780885780839,-3.98,-28.22,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,133.52,20.47,26.7,35.0,11.24,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,59685.0,7470.0,5028.0,12.52,8.42,4930.1,3010.24,2167.73,47381.62,-45213.89,0.27,13.4,7500.0,698.38,OpenDART,73.21,3.0,False,3.0,OpenDART,,4.0,,,4235385.0,,,53.9,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,111.72,2025.0,11011.0,4,3,3,3,0.26,28.0,13.02,29.21,25.0,-13.67,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-08-21,4.25,0,0,20,20,15,10,3,5,73,A,29
009540.KS,009540,HD한국조선해양,246644,,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템",KOSPI,주권,KRX,347500.0,376000.0,374975.0,395587.5,408242.5,-14.879024109444755,479500.0,-27.528675703858184,37.05035971222648,-8.79,-21.91,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,84.96,21.88,33.24,7.0,1.88,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,299332.0,39045.0,29284.0,13.04,9.78,44220.51,34183.5,37420.16,226338.6,-188918.44,3.54,40.11,12300.0,8697.9,OpenDART,141.18,2.0,False,2.0,OpenDART,,4.0,,,568333.0,,,63.55,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,212.72,2025.0,11011.0,18,17,17,16,0.08,8.0,0.96,8.82,-12.5,95.83,기타 금융업,기타 금융업,2026-08-21,4.25,15,3,16,20,15,10,5,5,89,S,30
005490.KS,005490,POSCO홀딩스,245648,,"열연코일,냉연강판,후판,선재,스테인리스 제조",KOSPI,주권,KRX,311000.0,316800.0,336216.6666666667,365500.0,351382.5,-11.492461918279936,535000.0,-41.86915887850468,48.587570621461246,-3.86,-29.64,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-38.15,27.33,32.64,14.0,0.43,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.22,115.0,10000.0,7562.08,OpenDART,-5.9,5.0,True,5.0,OpenDART,,4.0,,,511412.0,,,64.44,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,-36.54,2025.0,11011.0,1,0,0,0,,,,,,,1차 철강 제조업,1차 철강 제조업,2026-08-21,4.25,8,10,0,0,0,0,5,5,28,D,31
316140.KS,316140,우리금융지주,231168,,금융지주,KOSPI,주권,KRX,31550.0,32997.5,31301.666666666668,32195.416666666668,30971.25,1.8686685232271867,40800.0,-22.67156862745098,38.21656050948598,2.1,1.94,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,1.86,4.73,46.19,7.0,0.61,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,136423.91,131352.22,384996.79,5635980.38,-5250983.59,4.31,31.96,1360.0,9984.68,OpenDART,6.37,5.0,True,5.0,OpenDART,,4.0,,,43778.0,,,38.76,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,11.6,2025.0,11011,18,17,17,16,3.76,8.0,1.03,8.94,-12.5,-40.78,기타 금융업,기타 금융업,2026-08-21,4.25,15,10,6,0,8,2,5,5,51,C,32
017670.KS,017670,SK텔레콤,219515,,"이동전화,무선호출서비스,부가통신",KOSPI,주권,KRX,104200.0,90550.0,93616.66666666667,91128.33333333333,78432.5,32.853090236827846,125200.0,-16.773162939297126,73.31838565020121,4.72,2.06,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-67.28,15.89,71.52,16.0,1.41,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,170992.0,10732.0,3751.0,6.28,2.19,39238.47,16005.95,14900.24,171524.91,-156624.67,1.59,86.6,1660.0,3535.51,OpenDART,-20.63,5.0,True,5.0,OpenDART,,3.89,,,119368.0,,,14.56,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,-38.32,2025.0,11011,3,2,2,2,,,,,,,전기 통신업,전기 통신업,2026-08-21,4.25,8,6,0,0,0,0,1,5,20,D,33
096770.KS,096770,SK이노베이션,210977,,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",KOSPI,주권,KRX,125400.0,119300.0,111018.33333333333,117218.33333333333,115838.0,8.254631468084739,149800.0,-16.288384512683578,66.36155606405197,-5.14,3.04,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,53.47,15.07,8.0,0.94,-14.42,190.2,8.11,26.15,,-,802961.0,4487.0,-54364.0,0.56,-6.77,22830.53,-33675.57,160915.52,692169.86,-531254.34,,,,,,-10.7,0.0,True,3.0,OpenDART,,4.0,,,178923.0,,,42.68,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,,,,2,1,1,1,,,,,,,석유 정제품 제조업,석유 정제품 제조업,2026-08-21,4.25,15,8,0,0,0,0,1,5,29,D,34
015760.KS,015760,한국전력,203823,,"전력자원개발,발전,송전,전력용기자재확보",KOSPI,주권,KRX,31850.0,34140.0,36140.833333333336,40485.833333333336,45489.75,-29.984227216021193,67900.0,-53.09278350515464,32.76836158186907,-10.53,-21.26,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,144.73,3.62,53.2,4.0,0.45,19.4,416.85,4.32,61.28,,5439 -> 13311,974293.0,134906.0,86667.0,13.85,8.9,208801.54,49425.25,22408.11,2056045.13,-2033637.02,4.84,11.6,1542.0,9899.09,OpenDART,623.94,2.0,False,2.0,OpenDART,,4.0,,,55133.0,,,73.1,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,1,0,0,0,0.03,,,,,,전기업,전기업,2026-08-21,4.25,15,10,16,20,0,10,3,3,77,A,35
011200.KS,011200,HMM,203739,,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",KOSPI,주권,KRX,21400.0,21215.0,20176.333333333332,20422.583333333332,20388.05,4.9634467249197485,25950.0,-17.533718689788053,55.371900826318154,1.9,5.94,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-61.33,8.23,8.49,11.0,0.71,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,108914.0,14612.0,18787.0,13.42,17.25,33051.31,17064.29,17607.67,69918.56,-52310.89,3.27,35.15,700.0,6602.66,OpenDART,-16.45,5.0,True,5.0,OpenDART,,3.23,,,24273.0,,,13.43,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,3.39,2025.0,11011,1,0,0,0,,,,,,,해상 운송업,해상 운송업,2026-08-21,4.25,12,10,6,0,4,0,3,5,40,C,36
042700.KS,042700,한미반도체,203491,,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",KOSPI,주권,KRX,214500.0,206050.0,244603.33333333334,278451.6666666667,228419.0,-6.093626186963432,409500.0,-47.61904761904761,49.48132780082269,-0.69,-34.8,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,41.96,44.0,7.96,118.37,32.97,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,5767.0,2514.0,2140.0,43.59,37.11,2286.27,1348.92,2762.35,1230.04,1532.31,0.37,35.5,800.0,758.82,OpenDART,58.74,5.0,True,5.0,OpenDART,,4.0,,,380000.0,,,77.16,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,-9.81,2025.0,11011.0,3,2,2,2,2.82,,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-21,4.25,0,0,20,0,0,10,5,3,38,D,37
138040.KS,138040,메리츠금융지주,193118,,투자사업,KOSPI,주권,KRX,115300.0,120475.0,113100.0,113159.16666666667,113361.0,1.7104647982992387,146200.0,-21.135430916552668,32.23140495865904,-1.11,8.26,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,6.73,7.76,14.37,8.0,1.77,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,203170.0,28727.0,23501.0,14.14,11.57,-64720.07,-65197.88,31532.99,1241967.76,-1210434.77,,,,,,235.23,0.0,True,3.0,OpenDART,,3.83,,,153333.0,,,32.99,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,10.07,,,18,17,17,16,1.19,8.0,0.96,8.82,0.0,84.38,기타 금융업,기타 금융업,2026-08-21,4.25,15,6,20,10,8,5,3,5,72,A,38
006800.KS,006800,미래에셋증권,193050,,"유가증권매매,유가증권위탁매매,유가증권인수",KOSPI,주권,KRX,34550.0,34957.5,42959.166666666664,55552.058333333334,45882.125,-24.698343853951837,83800.0,-58.7708830548926,49.851632047436325,-11.86,-48.36,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,76.41,11.79,10.73,7.0,1.43,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,292830.0,19151.0,15829.0,6.54,5.41,-68609.61,-69186.45,16980.57,1368057.27,-1351076.7,0.87,11.1,300.0,1741.85,OpenDART,14.47,5.0,True,5.0,OpenDART,,3.82,,,55625.0,,,61.0,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,126.19,2025.0,11011,5,4,4,4,0.09,5.5,1.02,12.42,27.27,40.2,금융 지원 서비스업,금융 지원 서비스업,2026-08-21,4.25,15,6,12,20,15,10,5,3,86,S,39
033780.KS,033780,KT&G,178865,,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",KOSPI,주권,KRX,172600.0,179110.0,178483.33333333334,172582.5,162544.5,6.186305903921696,189000.0,-8.677248677248677,41.414141414126775,-3.9,-5.22,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-0.02,13.64,50.95,14.0,1.92,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,65797.0,13437.0,11023.0,20.42,16.75,5828.75,-930.03,9135.03,48529.58,-39394.55,3.48,57.6,6000.0,6274.28,OpenDART,6.27,5.0,False,5.0,OpenDART,,4.0,,,240000.0,,,39.05,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,16.47,2025.0,11011.0,1,0,0,0,,,,,,,담배 제조업,담배 제조업,2026-08-21,4.25,8,3,12,0,12,0,5,0,40,C,40
051910.KS,051910,LG화학,178245,,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",KOSPI,주권,KRX,254000.0,261400.0,289558.3333333333,319895.8333333333,334275.0,-24.014658589484704,429500.0,-40.86146682188591,46.66666666665875,-6.45,-27.64,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,29.2,37.56,-61.0,0.59,-5.5,114.54,-5.68,34.98,,-,459322.0,11809.0,-9771.0,2.57,-2.13,82338.59,-56228.12,98999.26,539561.16,-440561.9,0.79,,2000.0,1569.34,OpenDART,-41.52,1.0,True,3.0,OpenDART,,3.85,,,383769.0,,,51.09,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,,,,,,,기초 화학물질 제조업,기초 화학물질 제조업,2026-08-21,4.25,0,10,0,0,0,0,5,5,20,D,41
010140.KS,010140,삼성중공업,177760,,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",KOSPI,주권,KRX,20250.0,21485.0,23722.5,26430.416666666668,26700.75,-24.1594337237718,34400.0,-41.133720930232556,40.79999999990861,-14.38,-33.5,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,749.32,97.29,28.99,20.0,4.12,13.73,265.05,7.54,71.51,,73 -> 620,106500.0,8622.0,5358.0,8.1,5.03,15628.49,13465.94,7726.15,108538.31,-100812.16,,,,,,,,,,,,4.0,,,38750.0,,,91.36,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,3,2,2,2,0.03,,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-08-21,4.25,4,0,12,20,0,10,5,5,56,B,42
018260.KS,018260,삼성에스디에스,176421,,"IT서비스, 물류BPO",KOSPI,주권,KRX,225500.0,221375.0,220838.33333333334,194419.16666666666,185989.5,21.243403525467837,362000.0,-37.70718232044199,61.22448979590962,3.44,11.91,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,0.34,16.5,18.51,25.0,1.71,7.89,31.09,0.74,5.05,4.66,8962 -> 9783 -> 9816,139299.0,9571.0,7827.0,6.87,5.62,12033.28,8438.64,15589.81,31908.04,-16318.23,1.41,32.5,3190.0,2467.47,OpenDART,-0.1,5.0,True,5.0,OpenDART,,4.0,,,269786.0,,,19.64,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,4.66,2025.0,11011,2,1,1,1,73.53,,,,,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",2026-08-21,4.25,4,6,6,0,4,2,3,5,30,D,43
000150.KS,000150,두산,174569,,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등",KOSPI,주권,KRX,1088000.0,1177750.0,1407650.0,1372441.6666666667,1177910.0,-7.633011011028007,2203000.0,-50.612800726282344,42.17687074829831,-14.73,-38.91,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,,220.26,20.39,55.0,10.16,4.99,169.14,9.11,5.87,,-,197841.0,10627.0,2495.0,5.37,1.26,9819.08,834.83,49279.03,206934.67,-157655.64,0.37,94.61,4000.0,717.01,OpenDART,25.99,5.0,False,5.0,OpenDART,,4.0,,,2115833.0,,,94.47,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,6,5,5,5,,26.0,6.4,6.6,111.54,58.75,전자부품 제조업,전자부품 제조업,2026-08-21,4.25,0,0,0,0,0,0,5,3,8,D,44
267250.KS,267250,HD현대,168255,,지주회사,KOSPI,주권,KRX,210500.0,216070.0,224348.33333333334,246695.0,236492.5,-10.9908348044864,310500.0,-32.2061191626409,60.09036144577046,-9.07,-27.29,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,89.12,15.56,26.82,4.0,1.38,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,712594.0,60996.0,36755.0,8.56,5.16,73848.84,50959.56,63674.75,483507.99,-419833.24,1.9,29.4,4000.0,2826.74,OpenDART,-4.55,5.0,True,5.0,OpenDART,,4.0,,,324000.0,,,53.92,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,90.79,2025.0,11011,18,17,17,16,0.04,8.0,0.96,8.82,-50.0,43.75,기타 금융업,기타 금융업,2026-08-21,4.25,15,6,12,20,15,10,3,5,86,S,45
003550.KS,003550,LG,162833,,지주회사,KOSPI,주권,KRX,107900.0,104985.0,107515.0,102408.33333333333,95662.0,12.792958541531643,165800.0,-34.92159227985525,58.249999999979615,6.2,-12.06,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,29.09,16.15,37.21,14.0,0.58,2.64,12.03,1.07,-5.65,-23.3,7867 -> 3585 -> 4628,72525.0,9122.0,10001.0,12.58,13.79,10151.14,8256.22,15114.5,36480.76,-21366.26,2.87,64.86,3100.0,4781.8,OpenDART,1.1,5.0,False,5.0,OpenDART,,4.0,,,147750.0,,,36.93,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,-23.3,2025.0,11011.0,18,17,17,16,0.48,8.0,1.03,9.04,75.0,-43.69,기타 금융업,기타 금융업,2026-08-21,4.25,8,10,0,20,0,8,3,5,54,C,46
024110.KS,024110,기업은행,159485,,은행업,KOSPI,주권,KRX,20050.0,20397.5,20717.666666666668,21577.166666666668,21512.8,-6.799672752965673,28550.0,-29.772329246935204,38.98305084727262,-4.75,-3.84,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,2.53,4.67,13.68,6.0,0.43,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,292172.0,36556.0,27189.0,12.51,9.31,-30221.46,-34147.86,221431.08,4638365.97,-4416934.89,5.23,30.83,1048.0,8357.02,OpenDART,2.97,0.0,True,4.0,OpenDART,,3.73,,,27333.0,,,36.32,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,0.77,2025.0,11011.0,2,1,1,1,2.37,,,,,,은행 및 저축기관,은행 및 저축기관,2026-08-21,4.25,15,10,6,0,0,2,5,5,43,C,47
010950.KS,010950,S-Oil,158854,,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",KOSPI,주권,KRX,142400.0,136675.0,123713.33333333333,119880.0,107338.5,32.66442143312977,153600.0,-7.291666666666667,61.89655172412299,-4.94,29.34,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-81.34,31.62,79.38,6.0,1.72,2.01,198.82,-6.52,-44.2,,8137 -> 1518,342470.0,2356.0,1770.0,0.69,0.52,39423.04,336.87,18346.58,176695.56,-158348.98,0.23,21.8,330.0,385.15,OpenDART,-60.85,5.0,True,5.0,OpenDART,,3.94,,,164412.0,,,15.46,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,,,,,,,석유 정제품 제조업,석유 정제품 제조업,2026-08-21,4.25,15,6,0,0,0,0,3,0,24,D,48
035720.KS,035720,카카오,158587,,인터넷 서비스(인터넷 광고),KOSPI,주권,KRX,35800.0,37962.5,37510.0,42775.0,49633.0,-27.87056998368021,70400.0,-49.14772727272727,43.846153846106624,-3.63,-13.63,daily_close,NXT 미확인,2026-08-21 20:57 KST,,,795.16,180.5,29.02,30.0,1.52,4.59,82.49,2.99,47.79,,124 -> 1110,80991.0,7320.0,5180.0,9.04,6.4,14047.63,7903.9,63737.84,125586.03,-61848.19,0.21,6.7,75.0,330.25,OpenDART,7.72,5.0,False,5.0,OpenDART,,4.0,,,58389.0,,,63.1,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,0.04,,,,,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2026-08-21,4.25,0,6,0,20,0,10,5,3,44,C,49
079550.KS,079550,LIG디펜스앤에어로스페이스,152900,,정밀유도무기 등,KOSPI,주권,KRX,698000.0,747600.0,765816.6666666666,791341.6666666666,655940.0,6.412171844985822,1020000.0,-31.56862745098039,49.66996699669852,-5.16,-23.55,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,15.46,25.03,26.66,48.0,11.41,19.2,446.35,31.46,42.97,20.33,7953 -> 9974 -> 11516,43069.0,3194.0,2375.0,7.42,5.51,-5843.05,-8663.03,1251.9,65886.65,-64634.75,0.42,25.4,2950.0,644.43,OpenDART,25.29,5.0,False,5.0,OpenDART,,4.0,,,1147941.0,,,64.46,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,20.33,2025.0,11011.0,1,0,0,0,3.1,,,,,,무기 및 총포탄 제조업,무기 및 총포탄 제조업,2026-08-21,4.25,0,0,16,0,12,8,5,5,46,C,50
086280.KS,086280,현대글로비스,147525,,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",KOSPI,주권,KRX,196100.0,201445.0,201445.0,216530.83333333334,211956.5,-7.481016151899092,290500.0,-32.49569707401033,45.98540145983835,-4.11,-16.91,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,58.5,7.56,46.49,9.0,1.44,18.13,78.92,4.08,18.26,27.83,14148 -> 14585 -> 23117,295664.0,20730.0,17347.0,7.01,5.87,25007.61,18775.77,26446.4,81987.66,-55541.26,2.96,25.1,5800.0,4350.0,OpenDART,15.14,0.0,True,3.0,OpenDART,,4.0,,,322000.0,,,64.2,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,27.83,2025.0,11011.0,1,0,0,0,0.15,,,,,,기타 운송관련 서비스업,기타 운송관련 서비스업,2026-08-21,4.25,12,6,16,20,15,10,5,5,89,S,51
278470.KS,278470,에이피알,144136,,"화장품, 피부미용기기 등",KOSPI,주권,KRX,382500.0,366500.0,380366.6666666667,375733.3333333333,325790.0,17.406918567175175,459000.0,-16.666666666666664,77.54237288134672,3.38,-1.8,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,171.08,23.78,37.77,25.0,28.53,75.3,73.11,111.3,197.88,85.08,2249 -> 2842 -> 7704,15273.0,3655.0,2897.0,23.93,18.97,3410.46,3231.29,1543.5,3259.38,-1715.88,1.33,65.8,5090.0,1905.33,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,538500.0,,,40.78,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,85.08,2025.0,11011.0,3,2,2,2,0.15,,,,,,기타 화학제품 제조업,기타 화학제품 제조업,2026-08-21,4.25,4,0,20,20,15,10,1,5,75,A,52
064350.KS,064350,현대로템,141994,,"철도차량, 특수중기, 산업기계",KOSPI,주권,KRX,131100.0,138780.0,171246.66666666666,191514.16666666666,195575.5,-32.967063870474576,269000.0,-51.26394052044609,47.26443768995955,-21.26,-38.74,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,89.24,19.33,39.26,18.0,4.97,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,58390.0,10056.0,7705.0,17.22,13.2,9043.13,7478.41,9084.14,62768.0,-53683.86,0.46,8.5,600.0,654.85,OpenDART,144.95,3.0,False,3.0,OpenDART,,4.0,,,274118.0,,,109.09,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,118.7,2025.0,11011.0,1,0,0,0,0.2,,,,,,그외 기타 운송장비 제조업,그외 기타 운송장비 제조업,2026-08-21,4.25,8,0,20,20,15,10,5,3,81,A,53
003670.KS,003670,포스코퓨처엠,137777,,"내화물, 생석회, 음극재 및 양극재",KOSPI,주권,KRX,154900.0,149745.0,170533.33333333334,198949.16666666666,203247.5,-23.787500461260286,296000.0,-47.66891891891892,61.71662125339422,1.77,-35.59,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,7.52,726.86,9.78,478.0,3.28,0.92,102.65,-20.57,4585.71,,359 -> 386,29387.0,328.0,365.0,1.12,1.24,-335.77,-15428.71,3198.41,46318.17,-43119.76,0.16,60.9,250.0,222.37,OpenDART,-5.9,1.0,True,4.0,OpenDART,,3.75,,,205625.0,,,32.75,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,,2025.0,11011,3,1,2,2,63.56,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-21,4.25,0,0,0,0,0,5,3,3,11,D,54
272210.KS,272210,한화시스템,132810,,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",KOSPI,주권,KRX,70600.0,69835.0,78416.66666666667,102990.0,89859.5,-21.432903588379638,162700.0,-56.60725261216963,59.5121951219309,1.29,-38.61,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-46.69,20.41,10.49,91.0,2.93,6.6,106.5,30.69,-45.33,-16.73,1849 -> 2405 -> 1282,36642.0,1199.0,2091.0,3.27,5.71,787.37,-2395.77,3254.84,53262.66,-50007.82,0.71,44.7,500.0,934.97,OpenDART,25.99,5.0,False,5.0,OpenDART,,3.88,,,110000.0,,,55.81,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011,OpenDART,-16.73,2025.0,11011,6,5,5,5,,26.0,8.31,6.14,250.0,-64.74,전자부품 제조업,전자부품 제조업,2026-08-21,4.25,0,3,6,0,0,0,3,3,15,D,55
030200.KS,030200,KT,132059,,"유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)",KOSPI,주권,KRX,52300.0,52995.0,53525.0,56851.666666666664,55609.5,-5.951321267049694,68900.0,-24.092888243831638,53.24675324665644,-0.76,-3.51,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,271.3,13.4,100.0,9.0,0.7,10.22,120.72,6.86,205.02,32.94,3887 -> 1850 -> 6869,282442.0,24691.0,18368.0,8.74,6.5,49417.33,9009.74,35069.71,234905.5,-199835.79,4.59,33.6,2400.0,5809.56,OpenDART,6.98,5.0,False,5.0,OpenDART,,4.0,,,74632.0,,,42.7,,,Naver/FnGuide,,KRW,2026-08-19,2025.0,CFS,11011.0,OpenDART,32.94,2025.0,11011.0,3,2,2,2,0.03,,,,,,전기 통신업,전기 통신업,2026-08-21,4.25,12,10,12,20,15,10,5,5,89,S,56
011070.KS,011070,LG이노텍,130169,,기타 전자부품 제조업,KOSPI,주권,KRX,554000.0,562200.0,836450.0,642812.5,489980.0,13.065839422017225,1530000.0,-63.79084967320261,55.05617977527873,-18.41,-48.13,nxt_web_latest,NXT 체결가,2026-08-21 20:53 KST,,,-24.04,12.45,27.25,15.0,2.35,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,218966.0,6650.0,3413.0,3.04,1.56,13314.02,5768.74,14064.03,61678.29,-47614.26,0.34,13.0,1880.0,444.89,OpenDART,-14.43,2.0,True,4.0,OpenDART,,4.0,,,1155500.0,,,108.57,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,-22.3,2025.0,11011.0,6,5,5,5,,55.0,8.31,6.6,-72.73,-71.72,전자부품 제조업,전자부품 제조업,2026-08-21,4.25,8,3,6,0,0,0,3,1,21,D,57
