yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,cagr,peg,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
307950.KS,307950,현대오토에버,149186,544000.0,373887.5,45.49831165791849,938000.0,-42.00426439232409,18.81606765327639,daily_close,6.84,37.41,1.71,87.0,9.97,10.27,92.31,14.5,13.77,15.08,5024 -> 6228 -> 6654,,,,,,,,,,,15.08,12.72,2026-06-24,4.25,0,0,12,0,12,5,1,5,35,D,53
018260.KS,018260,삼성에스디에스,146863,189800.0,176660.0,7.43801652892562,362000.0,-47.569060773480665,22.11126961483373,daily_close,0.34,16.5,17.9,23.0,1.65,7.89,31.09,0.74,5.05,4.66,8962 -> 9783 -> 9816,,,,,,,,,,,4.66,67.65,2026-06-24,4.25,4,6,6,0,4,2,1,3,26,D,54
086280.KS,086280,현대글로비스,141825,189100.0,207730.5,-8.96859151641189,290500.0,-34.9053356282272,40.123456790118496,regularMarketPrice,58.5,7.56,44.87,10.0,1.61,18.13,78.92,4.08,18.26,27.83,14148 -> 14585 -> 23117,,,,,,,,,,,27.83,0.17,2026-06-24,4.25,12,6,16,20,15,10,5,5,89,S,55
047810.KS,047810,한국항공우주,139486,143100.0,141471.0,1.151472739996183,202000.0,-29.158415841584155,51.12359550560793,daily_close,8.05,37.62,26.2,41.0,7.66,10.51,446.57,1.73,11.84,-8.9,2298 -> 1765 -> 1907,,,,,,,,,,,-8.9,5.09,2026-06-24,4.25,0,0,12,0,0,5,5,5,27,D,56
278470.KS,278470,에이피알,138895,371000.0,297362.5,24.763546176804404,459000.0,-19.172113289760347,42.640692640690055,regularMarketPrice,171.08,23.78,37.45,27.0,28.49,75.3,73.11,111.3,197.88,85.08,2249 -> 2842 -> 7704,,,,,,,,,,,85.08,0.16,2026-06-24,4.25,0,0,20,20,15,10,5,5,75,A,57
030200.KS,030200,KT,130295,51700.0,55192.5,-6.327852516193324,68900.0,-24.963715529753266,42.631578947337005,daily_close,271.3,13.4,100.0,9.0,0.71,10.22,120.72,6.86,205.02,32.94,3887 -> 1850 -> 6869,,,,,,,,,,,32.94,0.03,2026-06-24,4.25,12,10,12,20,15,10,5,5,89,S,58
000720.KS,000720,현대건설,127725,114700.0,107054.5,7.141689513285289,188700.0,-39.21568627450981,41.2189254210058,regularMarketPrice,-30.35,14.22,25.1,27.0,1.58,4.58,174.81,-4.92,,,4767 -> 3320,,,,,,,,,,,,,2026-06-24,4.25,0,6,0,0,0,0,5,5,16,D,59
010950.KS,010950,S-Oil,120801,107300.0,93766.0,14.433803297570547,141300.0,-24.062278839348902,40.374331550787026,regularMarketPrice,-81.34,31.62,79.28,5.0,1.28,2.01,198.82,-6.52,-44.2,,8137 -> 1518,,,,,,,,,,,,,2026-06-24,4.25,15,6,0,0,0,0,5,5,31,D,60
071050.KS,071050,한국금융지주,113959,204500.0,199088.5,2.718137913540963,292500.0,-30.085470085470085,31.599999999996456,daily_close,94.33,4.83,35.02,5.0,1.06,18.66,1025.35,6.14,95.49,69.05,11480 -> 16883 -> 32808,,,,,,,,,,,69.05,0.05,2026-06-24,4.25,15,8,16,20,15,10,3,5,92,S,61
006260.KS,006260,LS,110292,353500.0,267736.5,32.03280090686179,553000.0,-36.075949367088604,32.84518828451691,daily_close,14.75,14.43,18.5,23.0,2.22,5.64,225.47,15.7,-1.89,-20.96,13539 -> 7371 -> 8458,,,,,,,,,,,-20.96,1.56,2026-06-24,4.25,4,3,6,5,0,5,3,5,31,D,62
0126Z0.KS,0126Z0,삼성에피스홀딩스,106001,426000.0,521892.5,-18.373994644490963,743000.0,-42.664872139973085,42.956120092375976,regularMarketPrice,,35.03,7.05,40.0,1.71,,30.64,,,,-,,,853.0,,,,,,,,,,2026-06-24,4.25,0,6,0,0,0,0,5,5,16,D,63
005940.KS,005940,NH투자증권,102449,28750.0,26457.2,8.666071995524845,39200.0,-26.658163265306122,38.64541832665012,daily_close,46.15,6.96,13.52,8.0,1.2,11.76,783.5,36.52,57.65,34.9,1587 -> 1976 -> 2888,,,,,,,,,,,34.9,0.17,2026-06-24,4.25,15,8,12,20,15,10,5,5,90,S,64
259960.KS,259960,크래프톤,101501,220000.0,262352.5,-16.143356743312907,386000.0,-43.005181347150256,28.025477707001357,regularMarketPrice,-43.16,14.43,43.57,10.0,1.45,10.6,31.31,22.76,-10.83,12.39,12221 -> 27162 -> 15438,,,,,,,,,,,12.39,,2026-06-24,4.25,12,6,12,0,8,0,3,5,46,C,65
003490.KS,003490,대한항공,100708,27350.0,23940.5,14.241557193876487,30000.0,-8.833333333333334,57.98611111105473,daily_close,-40.82,8.45,44.43,53.0,0.95,7.28,339.88,41.16,-47.23,-14.28,2873 -> 3567 -> 2111,,,,,,,,,,,-14.28,,2026-06-24,4.25,0,8,6,0,0,0,3,0,17,D,66
443060.KS,443060,HD현대마린솔루션,98185,219000.0,206433.0,6.087689468253623,280500.0,-21.92513368983957,49.61538461537926,daily_close,13.41,31.31,28.59,28.0,11.91,33.73,54.27,13.59,28.86,26.16,3778 -> 5302 -> 6013,,,,,,,,,,,26.16,2.09,2026-06-24,4.25,0,0,20,0,15,5,5,5,50,C,67
016360.KS,016360,삼성증권,95997,107500.0,92364.0,16.387337057728118,149500.0,-28.093645484949832,33.72287145241282,regularMarketPrice,12.03,5.76,25.98,7.0,1.3,13.09,887.64,10.45,14.09,35.65,6130 -> 10068 -> 11279,,,,,,,,,,,35.65,0.58,2026-06-24,4.25,15,6,12,20,15,5,3,5,81,A,68
323410.KS,323410,카카오뱅크,95662,20050.0,23436.5,-14.449683186482623,37000.0,-45.81081081081081,36.11111111105494,daily_close,9.1,27.52,16.87,18.0,1.59,7.23,1032.02,4.78,7.0,16.34,744 -> 923 -> 1007,,,,,,,,,,,16.34,1.98,2026-06-24,4.25,8,6,6,5,12,5,5,3,50,C,69
