yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,peg,cagr,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005490.KS,005490,POSCO홀딩스,249610,,315500.0,346462.5,-8.936753616913808,535000.0,-41.02803738317757,38.8020833333305,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-38.15,27.33,31.91,14.0,0.42,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,690949.0,18271.0,5044.0,2.64,0.73,45719.1,-16728.84,70498.0,428147.47,-357649.47,3.17,115.0,10000.0,7562.08,OpenDART,-12.42,5.0,True,,-36.54,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,8,10,0,0,0,0,5,5,28,D,31
006800.KS,006800,미래에셋증권,244250,,43800.0,43191.15,1.409663785289344,83800.0,-47.7326968973747,33.2584269662712,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,76.41,11.79,9.43,10.0,1.8,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,292830.0,19151.0,15829.0,6.54,5.41,-68609.61,-69186.45,16980.57,1368057.27,-1351076.7,0.68,11.1,300.0,1741.85,OpenDART,0.0,5.0,True,0.13,126.19,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,12,6,12,20,15,10,3,3,81,A,32
015760.KS,015760,한국전력,241378,,37800.0,46114.75,-18.030565057817725,67900.0,-44.329896907216494,54.358974358935335,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,144.73,3.62,52.1,4.0,0.48,19.4,416.85,4.32,61.28,,5439 -> 13311,974293.0,134906.0,86667.0,13.85,8.9,208801.54,49425.25,22408.11,2056045.13,-2033637.02,4.08,11.6,1542.0,9899.09,OpenDART,623.94,2.0,False,0.03,,2.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,10,16,20,0,10,5,5,81,A,33
042700.KS,042700,한미반도체,234944,,251000.0,210419.5,19.28552249197437,409500.0,-38.70573870573871,40.26258205689032,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,41.96,44.0,6.96,132.03,36.77,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,5767.0,2514.0,2140.0,43.59,37.11,2286.27,1348.92,2762.35,1230.04,1532.31,0.32,35.5,800.0,758.82,OpenDART,7.46,5.0,True,3.15,-9.81,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,20,0,0,10,5,5,40,C,34
010130.KS,010130,고려아연,228559,,1093000.0,1371690.0,-20.317272853195693,2115000.0,-48.321513002364064,43.69287020109577,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,319.09,54.23,28.14,17.0,1.99,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,165879.0,12319.0,7702.0,7.43,4.64,-6282.11,-15712.09,34510.7,92115.02,-57604.32,1.83,52.6,20000.0,4078.65,OpenDART,7.46,5.0,True,0.05,21.41,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,8,3,6,20,12,10,5,3,67,B,35
011070.KS,011070,LG이노텍,214660,,905000.0,412630.5,119.32455308078292,1530000.0,-40.849673202614376,39.57016434892472,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,-24.04,12.45,23.33,26.0,3.53,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,218966.0,6650.0,3413.0,3.04,1.56,13314.02,5768.74,14064.03,61678.29,-47614.26,0.21,13.0,1880.0,444.89,OpenDART,-14.43,4.0,True,,-22.3,4.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,0,6,0,0,0,5,5,16,D,36
316140.KS,316140,우리금융지주,213694,,29400.0,29864.25,-1.5545342675607123,40800.0,-27.94117647058824,45.45454545447315,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,1.86,4.73,45.84,7.0,0.56,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,415484.0,36748.0,32275.0,8.84,7.77,136423.91,131352.22,384996.79,5635980.38,-5250983.59,4.63,31.96,1360.0,9984.68,OpenDART,10.87,5.0,True,3.76,11.6,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,15,10,6,0,8,2,5,5,51,C,37
010140.KS,010140,삼성중공업,209000,,23950.0,26809.5,-10.665995262873237,34400.0,-30.377906976744185,44.59930313584499,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,749.32,97.29,28.76,20.0,4.49,13.73,265.05,7.54,71.51,,73 -> 620,106500.0,8622.0,5358.0,8.1,5.03,15628.49,13465.94,7726.15,108538.31,-100812.16,,,,,,,,,0.03,,,,,,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,4,0,12,20,0,10,5,5,56,B,38
064350.KS,064350,현대로템,207152,,188900.0,206846.0,-8.67601984084778,269000.0,-29.776951672862456,50.4915730337029,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,89.24,19.33,37.49,22.0,6.43,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,58390.0,10056.0,7705.0,17.22,13.2,9043.13,7478.41,9084.14,62768.0,-53683.86,0.32,8.5,600.0,654.85,OpenDART,144.95,3.0,False,0.25,118.7,3.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,4,0,20,20,15,10,5,5,79,A,39
051910.KS,051910,LG화학,197658,,281000.0,342370.0,-17.92505184449572,429500.0,-34.57508731082654,41.87082405344951,nxt_web_latest,NXT 체결가,2026-07-01 22:52 KST,,,,29.2,37.24,-257.0,0.63,-5.5,114.54,-5.68,34.98,,-,459322.0,11809.0,-9771.0,2.57,-2.13,82338.59,-56228.12,98999.26,539561.16,-440561.9,0.71,,2000.0,1569.34,OpenDART,-36.11,5.0,True,,,5.0,OpenDART,2025.0,11011.0,OpenDART,2025.0,CFS,11011.0,,,2026-07-01,4.25,0,10,0,0,0,0,5,5,20,D,40
