yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
HD,HD,홈디포,333.32,345.6449890136719,357.1012245178223,-3.2081199160320026,431.3699951171875,-19.872732705998075,71.88939021535467,daily_close,일봉 종가,2026-06-26 00:26 KST,,,-4.3,23.05,76.09,24.333569,24.637825,128.38,459.356,4.8,-2.95,-2.96,15.11 -> 14.91 -> 14.23,164683000000.0,20890000000.0,14156000000.0,12.68,8.6,16325000000.0,12646000000.0,1389000000.0,65350000000.0,-63961000000.0,,-2.96,2026-06-24,4.25,4,0,20,0,0,0,1,5,30,D,31
NFLX,NFLX,넷플릭스,325.83,72.08499908447266,97.30708488464356,-25.920091872109207,133.91299438476562,-46.170273157096034,21.808990454735664,daily_close,일봉 종가,2026-06-26 00:26 KST,,,86.4,37.65,85.1,23.275806,9.765191,48.49,53.788,16.2,27.92,45.02,1.2 -> 1.98 -> 2.53,45183036000.0,13326603000.0,10981201000.0,29.49,24.3,10149273000.0,9461053000.0,9033681000.0,14462836000.0,-5429155000.0,0.27,45.02,2026-06-24,4.25,4,0,20,20,15,10,1,3,73,A,32
GS,GS,"Goldman Sachs Group, Inc. (The)",323.49,1092.27001953125,883.694201965332,23.602714276278636,1106.3699951171875,-1.2744358260044841,49.934374540750525,daily_close,일봉 종가,2026-06-26 00:26 KST,,,24.2,14.31,74.64,19.987206,3.0692928,14.55,678.596,14.5,38.6,49.8,22.87 -> 40.54 -> 51.32,58283000000.0,,17176000000.0,,29.47,-45154000000.0,-47218000000.0,164259000000.0,386150000000.0,-221891000000.0,0.83,49.8,2026-06-24,4.25,4,0,12,16,15,8,5,0,60,B,33
TXN,TXN,Texas Instruments Incorporated,293.83,310.2099914550781,212.76675064086913,45.79815244661244,332.2799987792969,-6.641990912874005,51.67473956595212,daily_close,일봉 종가,2026-06-26 00:26 KST,,,31.3,26.03,92.62,51.813675,16.44031,32.35,83.741,18.6,14.96,-12.2,7.07 -> 5.2 -> 5.45,17682000000.0,6140000000.0,5001000000.0,34.72,28.28,7153000000.0,2603000000.0,3225000000.0,14048000000.0,-10823000000.0,1.66,-12.2,2026-06-24,4.25,0,0,20,5,0,10,5,0,40,C,34
PM,PM,Philip Morris International Inc,278.05,179.6699981689453,166.73360000610353,7.758722994266439,191.86000061035156,-6.353592412502346,55.81221444665904,daily_close,일봉 종가,2026-06-26 00:26 KST,,,-9.3,19.93,84.12,25.33662,-30.213303,,,9.1,11.42,20.26,5.02 -> 4.53 -> 7.26,40648000000.0,14933000000.0,11348000000.0,36.74,27.92,12233000000.0,10664000000.0,4872000000.0,48835000000.0,-43963000000.0,,20.26,2026-06-24,4.25,0,0,0,0,12,0,3,0,15,D,35
WFC,WFC,Wells Fargo & Company,251.55,85.76000213623047,84.28905021667481,1.7451281225430901,96.38999938964844,-11.028112170067667,65.87420174043507,daily_close,일봉 종가,2026-06-26 00:26 KST,,,15.1,12.27,78.74,13.029367,1.5847652,12.03,,5.7,29.45,13.84,4.83 -> 5.37 -> 6.26,83699000000.0,,21338000000.0,,25.49,-19001000000.0,-19001000000.0,174210000000.0,193035000000.0,-18825000000.0,0.86,13.84,2026-06-24,4.25,8,6,12,16,8,8,1,5,64,B,36
RTX,RTX,RTX Corporation,249.94,187.82000732421875,183.00425003051757,2.631500248162604,212.16000366210938,-11.472471680692008,58.96779805748966,daily_close,일봉 종가,2026-06-26 00:26 KST,,,32.5,32.9,81.57,34.72045,3.760083,11.57,57.229,8.7,42.25,49.14,2.23 -> 3.55 -> 4.96,88603000000.0,9300000000.0,6732000000.0,10.5,7.6,10567000000.0,7448000000.0,7435000000.0,39506000000.0,-32071000000.0,1.07,49.14,2026-06-24,4.25,0,0,12,10,15,10,3,5,55,B,37
QCOM,QCOM,QUALCOMM Incorporated,238.32,204.75,167.76954986572267,22.0424088661353,251.02000427246094,-18.432795587971853,36.65113428039639,daily_close,일봉 종가,2026-06-26 00:26 KST,,,173.0,19.11,84.88,22.025269,7.952287,36.08,55.979,-3.5,20.88,-11.66,6.42 -> 8.97 -> 5.01,44284000000.0,12394000000.0,5541000000.0,27.99,12.51,14012000000.0,12820000000.0,5520000000.0,14811000000.0,-9291000000.0,0.13,-11.66,2026-06-24,4.25,4,0,20,20,0,10,5,5,64,B,38
LIN,LIN,Linde plc,236.79,527.5,468.4056506347656,12.616062441849701,527.5,0.0,63.085753562864895,daily_close,일봉 종가,2026-06-26 00:26 KST,,,13.4,32.12,89.35,34.245018,6.186187,18.23,65.642,8.2,7.67,7.72,12.59 -> 13.62 -> 14.61,33986000000.0,9254000000.0,6898000000.0,27.23,20.3,10350000000.0,5089000000.0,5056000000.0,28069000000.0,-23013000000.0,2.56,7.72,2026-06-24,4.25,0,0,16,0,4,5,3,0,28,D,39
IBM,IBM,International Business Machines,234.13,260.5299987792969,273.6716997528076,-4.801994866616065,329.2300109863281,-20.866874195707556,24.884304600451955,daily_close,일봉 종가,2026-06-26 00:26 KST,,,14.2,36.69,65.58,23.038904,7.427244,35.77,211.169,9.5,24.0,17.14,8.14 -> 6.43 -> 11.17,67536000000.0,12492000000.0,10593000000.0,18.5,15.68,13193000000.0,11455000000.0,13587000000.0,64607000000.0,-51020000000.0,1.62,17.14,2026-06-24,4.25,4,0,20,5,12,5,1,5,52,C,40
AXP,AXP,American Express Company,230.63,347.4849853515625,337.73077529907226,2.8881614486724065,384.8900146484375,-9.718368332065236,81.87288410355367,daily_close,일봉 종가,2026-06-26 00:26 KST,,,17.6,18.87,65.32,21.683718,6.9732776,34.42,177.847,11.6,,17.13,11.21 -> 14.01 -> 15.38,72230000000.0,,10833000000.0,,15.0,18428000000.0,16003000000.0,47708000000.0,57759000000.0,-10051000000.0,1.23,17.13,2026-06-24,4.25,4,0,20,10,12,8,1,0,55,B,41
MCD,MCD,McDonald's Corporation,197.95,268.9599914550781,304.4105497741699,-11.645640515872772,341.05999755859375,-21.13997731180096,45.900554972212774,daily_close,일봉 종가,2026-06-26 00:26 KST,,,6.9,25.8,77.19,22.18178,-148.65471,,,9.4,4.58,1.67,11.56 -> 11.39 -> 11.95,26885000000.0,12394000000.0,8563000000.0,46.1,31.85,10551000000.0,7186000000.0,774000000.0,54814000000.0,-54040000000.0,3.21,1.67,2026-06-24,4.25,4,0,0,0,0,5,5,5,19,D,42
TMUS,TMUS,"T-Mobile US, Inc.",196.6,181.69000244140625,205.70209999084472,-11.673238897661804,272.8299865722656,-33.40541312042279,57.52496204841235,daily_close,일봉 종가,2026-06-26 00:26 KST,,,-12.0,32.59,44.02,19.353191,3.535173,18.02,218.569,10.6,3.04,18.43,6.93 -> 9.66 -> 9.72,88309000000.0,18557000000.0,10992000000.0,21.01,12.45,27950000000.0,15427000000.0,5598000000.0,122269000000.0,-116671000000.0,,18.43,2026-06-24,4.25,4,0,16,0,12,0,3,5,40,C,43
PEP,PEP,펩시코,194.13,140.63040161132812,150.1446517944336,-6.336722666706534,179.3000030517578,-21.566983146825205,45.73618714231622,daily_close,일봉 종가,2026-06-26 00:26 KST,,,27.8,23.3,80.91,22.070644,8.994307,43.88,244.837,8.5,4.42,-4.36,6.56 -> 6.95 -> 6.0,93925000000.0,13491000000.0,8240000000.0,14.36,8.77,12087000000.0,7672000000.0,9159000000.0,49901000000.0,-40742000000.0,0.79,-4.36,2026-06-24,4.25,4,0,20,16,0,8,5,5,58,B,44
