yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
263750.KQ,263750,펄어비스,22215,35250.0,44344.75,-20.509192181712603,72000.0,-51.041666666666664,28.270042194059428,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,296.2,96.6,7.27,6.0,2.26,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,,,,,,0.02,,2026-06-25,4.25,15,3,0,20,0,10,3,3,54,C,44
257720.KQ,257720,실리콘투,21082,31950.0,42121.25,-24.147550227023178,61800.0,-48.30097087378641,41.90871369289737,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,31.11,14.49,7.0,10.0,4.28,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,,,,,,0.32,103.34,2026-06-25,4.25,12,0,20,20,15,10,5,3,85,S,45
098460.KQ,098460,고영,21008,30600.0,26659.35,14.781493172189125,43500.0,-29.655172413793103,48.70017331020167,daily_close,정규장 종가,2026-06-25 17:48 KST,-29.74,61.63,23.23,44.0,5.89,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,,,,,,,-17.9,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,46
032820.KQ,032820,우리기술,20935,12200.0,11104.325,9.867101332138596,29300.0,-58.36177474402731,42.389649923851344,daily_close,정규장 종가,2026-06-25 17:48 KST,-84.85,398.75,5.98,60.4,12.64,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,3,8,D,47
420770.KQ,420770,기가비스,20471,161000.0,64911.75,148.0290548321375,161500.0,-0.30959752321981426,60.18626309661418,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,353.16,47.97,2.29,125.0,10.16,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,,,,,,0.35,-33.36,2026-06-25,4.25,0,0,6,20,0,10,3,0,39,D,48
043260.KQ,043260,성호전자,20390,28750.0,21417.275,34.23743216632367,53200.0,-45.95864661654135,28.916929547835863,daily_close,정규장 종가,2026-06-25 17:48 KST,871.74,6.42,2.97,4.92,3.5,46.27,128.77,11.72,20.63,101.28,331 -> 138 -> 1341,2316.0,76.0,910.0,3.28,39.29,,,,,,0.01,101.28,2026-06-25,4.25,15,0,20,20,15,10,3,3,86,S,49
089030.KQ,089030,테크윙,19379,52300.0,52336.75,-0.07021834561756318,71100.0,-26.441631504922647,47.806215722108426,daily_close,정규장 종가,2026-06-25 17:48 KST,,181.67,14.12,425.2,9.15,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,5,10,D,50
183300.KQ,183300,코미코,18922,91100.0,60998.52,49.34788581755755,139200.0,-34.554597701149426,42.692648361376456,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-10.74,15.48,22.56,39.09,6.64,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,,,,,,,24.61,2026-06-25,4.25,0,0,16,0,12,0,5,5,38,D,51
068760.KQ,068760,셀트리온제약,18049,40700.0,57978.825,-29.80195786996373,95047.0,-57.17907982366619,40.312499999964736,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,76.47,119.93,5.25,45.02,4.13,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,,,,,,0.59,34.91,2026-06-25,4.25,0,0,6,20,15,10,5,3,59,B,52
140410.KQ,140410,메지온,17931,59000.0,85452.75,-30.95599614991911,172700.0,-65.83671105964099,42.9203539822743,daily_close,정규장 종가,2026-06-25 17:48 KST,,,25.48,,115.69,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,,,,,,,,2026-06-25,4.25,0,0,0,0,0,0,5,1,6,D,53
082920.KQ,082920,비츠로셀,17637,38400.0,27703.065,38.61282136110211,64100.0,-40.09360374414976,23.71967654984732,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,10.56,11.12,32.44,23.0,5.15,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,,,,,,2.18,23.31,2026-06-25,4.25,4,0,16,0,12,5,1,5,43,C,54
035900.KQ,035900,JYP Ent.,17624,49900.0,67426.5,-25.993489206765886,85100.0,-41.36310223266745,41.96428571425949,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,64.27,25.19,18.75,13.0,2.63,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,,,,,,0.2,23.33,2026-06-25,4.25,8,3,20,20,12,10,5,5,83,A,55
058610.KQ,058610,에스피지,17342,77600.0,86024.25,-9.792878170980856,158100.0,-50.91714104996837,25.433526011553838,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-30.29,103.2,8.46,183.14,6.5,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,,,,,,,-8.86,2026-06-25,4.25,0,0,0,0,0,0,3,3,6,D,56
218410.KQ,218410,RFHIC,17259,64400.0,55137.25,16.799441393975943,112500.0,-42.75555555555556,31.06382978722479,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,11.66,23.8,26.58,39.0,4.56,8.84,37.77,61.71,1960.0,28.82,652 -> 969 -> 1082,1858.0,309.0,355.0,16.63,19.11,,,,,,3.34,28.82,2026-06-25,4.25,0,0,6,0,15,5,3,5,34,D,57
140860.KQ,140860,파크시스템스,16735,240000.0,254487.5,-5.692813988899259,339500.0,-29.307805596465393,41.8478260869544,nxt_web_latest,NXT 체결가,2026-06-25 17:44 KST,-19.61,42.01,35.86,32.0,7.24,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,,,,,,,18.19,2026-06-25,4.25,0,0,16,0,12,0,5,5,38,D,58
