yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
189300.KQ,189300,인텔리안테크,9835,91600.0,86774.0,5.56157374328716,172400.0,-46.8677494199536,17.628705148202073,26.36,108.68,23.63,25.0,3.34,2.81,86.45,23.97,,,550 -> 695,4,0,0,1,3,8,D,2026-06-19,4.45,0.95,,86
090710.KQ,090710,휴림로봇,12099,10120.0,9084.625,11.397003178447102,21500.0,-52.93023255813954,47.21254355389183,,,6.03,,9.73,-13.42,36.13,26.45,,,-,0,0,0,5,3,8,D,2026-06-19,4.45,,,87
100790.KQ,100790,미래에셋벤처투자,12590,23700.0,21931.05,8.065961274084007,67400.0,-64.83679525222553,22.912205567444943,263.75,20.88,4.04,28.87,3.23,8.47,190.79,2.52,123.57,12.85,457 -> 160 -> 582,0,0,6,1,1,8,D,2026-06-19,4.45,0.11,12.85,88
475830.KQ,475830,오름테라퓨틱,13338,62000.0,78076.5,-20.590702708241277,143700.0,-56.854558107167705,44.486692015197285,,,7.79,,11.84,-33.22,29.37,,,,-,0,0,0,5,3,8,D,2026-06-19,4.45,,,89
058610.KQ,058610,에스피지,19427,87600.0,84922.0,3.1534820187937163,158100.0,-44.59203036053131,29.748603351949484,-30.29,103.2,6.96,205.15,7.28,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,0,0,0,3,5,8,D,2026-06-19,4.45,,-8.86,90
310210.KQ,310210,보로노이,35865,194900.0,229492.5,-15.073477346754252,363500.0,-46.38239339752407,25.387493319078814,,,6.54,,38.62,-50.18,64.97,-23.47,,,-,0,0,0,3,3,6,D,2026-06-19,4.45,,,91
140410.KQ,140410,메지온,18721,61600.0,85045.5,-27.568184089693165,172700.0,-64.3312101910828,42.29249011855367,,,25.27,,120.78,-110.43,470.09,-8.14,,,-,0,0,0,5,1,6,D,2026-06-19,4.45,,,92
347700.KQ,347700,스피어,13013,25250.0,25616.85,-1.4320652226952124,53100.0,-52.4482109227872,31.684491978597762,-98.98,1590.82,7.13,28.73,11.72,0.43,49.85,11.94,-40.13,,491 -> 5,0,0,0,3,3,6,D,2026-06-19,4.45,,,93
323280.KQ,323280,태성,13848,45350.0,49977.5,-9.25916662498124,89700.0,-49.44258639910814,32.90414878396393,,103.42,4.98,,10.81,-3.0,34.71,-35.98,-141.67,,-,0,0,0,3,3,6,D,2026-06-19,4.45,,,94
491000.KQ,491000,리브스메드,9926,39700.0,59339.75,-33.09712292350406,91300.0,-56.51697699890471,28.81944444443043,,,6.54,,5.67,-20.75,11.65,88.93,,,-,0,0,0,3,3,6,D,2026-06-19,4.45,,,95
222800.KQ,222800,심텍,46567,124300.0,62092.25,100.18601355241597,134100.0,-7.307979120059657,52.75310834812844,,,14.92,35.0,7.78,-32.1,181.13,14.55,,,-,0,0,0,5,0,5,D,2026-06-19,4.45,,,96
000250.KQ,000250,삼천당제약,59464,253500.0,375088.5,-32.415949835838745,1184000.0,-78.58952702702703,26.31578947368216,,1036.5,6.71,581.42,19.9,1.94,54.36,9.91,226.92,,-,0,0,0,3,1,4,D,2026-06-19,4.45,,,97
