yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
105560.KS,105560,KB금융,607934,,-,KOSPI,주권,KRX,172300.0,140713.5,22.447384223972826,173200.0,-0.5196304849884527,67.8474114441158,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,18.98,6.51,80.06,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.0,58407.0,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.53,27.0,4367.0,15777.74,OpenDART,14.1,4.0,False,,,,,,,,,0.47,15.41,2025.0,11011.0,4.0,OpenDART,12.67,1.48,11.49,17,-28.97,-35.81,,,,,기타 금융업,기타 금융업,2026-07-09,4.25,12,8,6,20,12,8,1,0,67,B,11
000270.KS,000270,기아,565318,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,146000.0,141303.0,3.3240624756728447,206000.0,-29.126213592233007,43.398692810449575,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-21.72,5.03,38.72,7.0,0.89,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,4.66,34.9,6800.0,26424.99,OpenDART,22.7,5.0,False,,,,,,,,,,-6.31,2025.0,11011.0,5.0,OpenDART,9.5,0.98,10.66,2,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-09,4.25,15,8,12,0,0,0,5,5,45,C,12
329180.KS,329180,HD현대중공업,532153,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,508000.0,572962.5,-11.33800205074503,745000.0,-31.812080536912752,20.802919708028128,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,124.28,179.12,13.88,21.0,6.64,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.11,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,,,,,,,,,0.17,651.55,2025.0,11011.0,2.0,OpenDART,20.33,5.26,18.38,3,3.3,26.24,,,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-07-09,4.25,4,0,16,20,15,10,1,5,71,A,13
055550.KS,055550,신한지주,498387,,금융지주회사,KOSPI,주권,KRX,104300.0,87150.0,19.67871485943775,108600.0,-3.959484346224678,56.50793650791139,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,15.39,5.95,61.69,8.0,0.77,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.48,25.06,2590.0,12457.3,OpenDART,7.22,5.0,False,,,,,,,,,0.52,9.58,2025.0,11011.0,5.0,OpenDART,12.67,1.48,11.49,17,-36.86,-47.97,,,,,기타 금융업,기타 금융업,2026-07-09,4.25,15,10,6,20,8,8,3,0,70,A,14
012450.KS,012450,한화에어로스페이스,491399,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,952000.0,1150635.0,-17.263076475163714,1537000.0,-38.061158100195186,35.798319327730255,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-38.13,15.96,45.35,26.0,5.64,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.74,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,,,,,,,,,,34.11,2025.0,11011.0,4.0,OpenDART,35.0,6.85,14.82,2,,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-07-09,4.25,0,0,16,0,15,0,5,5,41,C,15
034020.KS,034020,두산에너빌리티,468890,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,74000.0,90875.5,-18.56991158232967,136400.0,-45.74780058651026,22.61640798225463,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-24.14,284.35,24.14,194.0,7.06,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,,,,,,,23.18,,,,,194.0,7.06,1.11,1,,,OpenDART,2025.0,CFS,11011,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-07-09,4.25,0,0,0,0,12,0,1,3,16,D,16
034730.KS,034730,SK,442266,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,618000.0,372587.5,65.86707820310666,858000.0,-27.972027972027973,40.03496503496406,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,,11.73,29.67,6.0,1.42,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.29,27.6,8000.0,4407.19,OpenDART,0.0,5.0,True,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,12.67,1.48,11.49,17,-52.64,-4.05,,,,,기타 금융업,기타 금융업,2026-07-09,4.25,15,6,6,0,0,0,5,5,37,D,17
012330.KS,012330,현대모비스,421906,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,465000.0,422137.5,10.15368215332682,768000.0,-39.453125,18.318965517240272,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,-8.74,7.12,36.87,11.0,0.87,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.4,15.9,6500.0,5797.54,OpenDART,12.91,5.0,False,,,,,,,,,,4.5,2025.0,11011.0,5.0,OpenDART,11.0,0.87,7.68,1,,,,,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-07-09,4.25,12,8,6,0,4,0,1,5,36,D,18
068270.KS,068270,셀트리온,402550,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,172600.0,184726.62,-6.564630479353759,236861.0,-27.130257830541964,51.886792452820394,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,148.85,65.74,24.47,28.0,2.27,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,2.0,True,,,,,,,,,0.19,15.32,2025.0,11011.0,2.0,OpenDART,30.5,5.21,12.69,2,,,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-09,4.25,0,3,6,20,12,10,5,5,61,B,19
086790.KS,086790,하나금융지주,336374,,기타 금융,KOSPI,주권,KRX,121800.0,106105.5,14.791410435839799,132000.0,-7.727272727272727,48.81266490763368,nxt_web_latest,NXT 체결가,2026-07-09 23:06 KST,,,9.62,4.94,68.53,7.0,0.69,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,689436.0,53509.0,40366.0,7.76,5.85,-19624.71,-39700.46,365650.97,6289451.22,-5923800.25,3.37,28.0,4105.0,11177.79,OpenDART,7.27,5.0,False,,,,,,,,,0.73,10.23,2025.0,11011.0,5.0,OpenDART,12.67,1.48,11.49,17,-44.75,-53.38,,,,,기타 금융업,기타 금융업,2026-07-09,4.25,15,10,6,16,8,5,5,0,65,B,20
