yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
LLY,LLY,일라이릴리,979.64,1156.6300048828125,1002.765703125,15.343993245711612,1235.56005859375,-6.388200489482605,56.314756704717986,2.42,24.77,daily_close,일봉 종가,2026-07-16 13:42 KST,1157.99,0.11758255547981407,169.9,66.6,85.32,42.365448,34.130653,107.46,139.015,55.5,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.6,22.13,6.92,,yfinance,,,,,,Healthcare,Drug Manufacturers - General,79.49,,,2.57,,,,,18.88,Finnhub,,,,,,,,,0.25,98.92,23.01,3.59,15.2,15,14,13,13,84.12,850.71,2026-07-15,4.55,0,0,20,20,15,10,3,0,68,B,11
WMT,WMT,월마트,932.53,112.52999877929688,117.45094966888428,-4.189792337533637,134.1999969482422,-16.14753998638534,35.65409150087508,-6.86,-11.74,daily_close,일봉 종가,2026-07-16 13:42 KST,,,19.4,36.02,38.09,39.880283,9.55942,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,0.88,33.54,0.99,,yfinance,,,,,,Consumer Defensive,Discount Stores,89.58,,,-2.09,,,,,-1.67,Finnhub,,,,,,,,,2.06,19.45,24.99,8.18,30.13,9,7,6,6,59.58,16.86,2026-07-15,4.55,0,0,20,0,12,8,5,5,50,C,12
AMD,AMD,AMD,876.24,529.1400146484375,293.3067997741699,80.40495994496077,580.9099731445312,-8.911872904480727,51.49482010293561,-3.31,90.07,daily_close,일봉 종가,2026-07-16 13:42 KST,528.275,-0.16347556875135244,91.2,135.05,71.97,181.83505,13.380029,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,,,Technology,Semiconductors,84.21,4.51,47.0,3.51,525.4,725.0,320.0,-0.71,4.63,Finnhub,yfinance,,,2026-07-16,,,,,1.99,123.61,30.3,9.57,34.89,19,17,18,18,500.12,39.81,2026-07-15,4.55,0,0,6,5,15,10,5,0,41,C,13
JPM,JPM,JP모건 체이스,871.43,346.9100036621094,309.50390060424803,12.085826054157307,346.9100036621094,0.0,63.24800237591281,8.61,11.8,daily_close,일봉 종가,2026-07-16 13:42 KST,347.31,0.11530262421611341,17.2,11.99,75.66,15.775385,2.5657625,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,1.73,28.24,6.0,,yfinance,,,,,,Financial Services,Banks - Diversified,,,,,,,,,,,,,,,,,,,0.92,11.06,18.83,3.0,15.43,16,15,15,15,-16.22,-14.47,2026-07-15,4.55,8,3,16,16,8,8,3,0,62,B,14
INTC,INTC,Intel Corporation,673.43,102.98999786376953,63.561799964904786,62.03127966897532,140.94000244140625,-26.926354420501646,29.901824767790856,-19.45,50.35,daily_close,일봉 종가,2026-07-16 13:42 KST,,,98.63,65.53,64.05,,6.296163,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,,,,,Technology,Semiconductors,32.08,,,-1.25,,,,,1244.7,Finnhub,,,,2026-07-15,,,,,,,32.69,9.74,34.89,19,18,18,18,,-35.36,2026-07-15,4.55,0,0,0,0,0,10,3,5,18,D,15
V,V,비자,622.33,355.1400146484375,329.3969488525391,7.815210761840663,373.30999755859375,-4.867263943903441,68.85596060416847,9.67,12.02,daily_close,일봉 종가,2026-07-16 13:42 KST,355.44,0.08446960049248778,35.5,28.25,91.68,29.938046,18.40414,60.35,67.233,17.1,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.75,21.97,2.68,,yfinance,,,,,,Financial Services,Credit Services,91.67,,,0.0,,,,,1.24,Finnhub,,,,,,,,,0.84,10.99,18.62,2.86,15.43,16,15,15,15,60.78,543.5,2026-07-15,4.55,0,0,20,16,8,10,1,0,55,B,16
XOM,XOM,엑슨모빌,571.22,144.50999450683594,136.75764980316163,5.668673536604669,171.47000122070312,-15.72287077735908,66.99419562090635,2.55,-1.32,daily_close,일봉 종가,2026-07-16 13:42 KST,144.41,-0.06919556476158523,-43.4,12.2,68.74,23.05565,2.20271,9.87,18.261,2.6,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,43537000000.0,-32856000000.0,2.85,68.01,4.12,,yfinance,,,,,,Energy,Oil & Gas Integrated,51.61,,,0.0,,,,,5.59,Finnhub,,,,,,,,,,-13.19,,,,2,1,1,1,,,2026-07-15,4.55,4,3,6,0,0,0,1,5,19,D,17
ORCL,ORCL,오라클,530.03,132.49000549316406,193.11564964294433,-31.39343924838423,328.3299865722656,-59.647302740652066,24.22806908289556,-31.22,-24.32,daily_close,일봉 종가,2026-07-16 13:42 KST,,,21.9,36.02,43.9,22.523972,10.087422,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.51,34.31,2.0,,yfinance,,,,,,Technology,Software - Infrastructure,81.63,,,0.0,,,,,9.27,Finnhub,,,,2026-07-14,,,,,1.03,25.36,35.07,9.57,33.3,19,17,18,18,-35.77,5.41,2026-07-15,4.55,4,0,20,10,15,8,1,3,61,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,579.4299926757812,354.9766497039795,63.23045280836834,723.0,-19.857539048992912,49.03935448672479,-1.08,45.97,daily_close,일봉 종가,2026-07-16 13:42 KST,,,33.5,18.76,85.14,58.803005,20.815569,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,3.34,22.22,3.22,18.3,12,9,8,8,164.64,546.45,2026-07-15,4.55,0,0,20,5,4,10,5,5,49,C,19
CSCO,CSCO,시스코 시스템즈,471.16,111.7699966430664,86.84119998931885,28.706186299606294,130.0,-14.023079505333532,39.36964983195696,-6.99,29.59,daily_close,일봉 종가,2026-07-16 13:42 KST,112.18,0.36682774380224065,37.1,18.51,82.88,39.003334,9.43553,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,1.5,55.0,1.68,,yfinance,,,,,,Technology,Communication Equipment,69.7,,,-2.18,,,,,-0.11,Finnhub,,,,,,,,,1.05,-7.8,30.3,9.74,34.89,19,17,18,18,28.72,-3.13,2026-07-15,4.55,0,0,20,10,0,10,5,5,50,C,20
