yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
079550.KS,079550,LIG디펜스앤에어로스페이스,161700,737000.0,607577.5,21.30139776407125,1020000.0,-27.745098039215687,52.977099236640086,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,15.46,25.03,25.43,44.0,10.64,19.2,446.35,31.46,42.97,20.33,7953 -> 9974 -> 11516,43069.0,3194.0,2375.0,7.42,5.51,,,,,,2.85,20.33,2026-06-26,4.25,0,0,16,0,12,8,5,5,46,C,44
024110.KS,024110,기업은행,156773,19700.0,21276.1,-7.407842602732638,28550.0,-30.998248686514884,45.31001589815035,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,2.53,4.67,13.54,6.0,0.43,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,292172.0,36556.0,27189.0,12.51,9.31,,,,,,2.37,0.77,2026-06-26,4.25,15,10,6,0,0,2,5,5,43,C,45
267250.KS,267250,HD현대,152219,192400.0,226737.5,-15.144164507414962,310500.0,-38.0354267310789,27.015793848708412,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,89.12,15.56,27.17,6.0,1.25,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,712594.0,60996.0,36755.0,8.56,5.16,,,,,,0.07,90.79,2026-06-26,4.25,15,6,12,20,15,10,3,5,86,S,46
096770.KS,096770,SK이노베이션,151302,89900.0,115047.0,-21.858023242674733,149800.0,-39.98664886515354,33.47921225381907,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,,53.47,14.53,9.0,0.64,-14.42,190.2,8.11,26.15,,-,802961.0,4487.0,-54364.0,0.56,-6.77,,,,,,,,2026-06-26,4.25,12,10,0,0,0,0,3,5,30,D,47
003550.KS,003550,LG,149075,97500.0,90559.5,7.664021996587879,165800.0,-41.19420989143546,32.08430913347894,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,29.09,16.15,36.14,13.0,0.51,2.64,12.03,1.07,-5.65,-23.3,7867 -> 3585 -> 4628,72525.0,9122.0,10001.0,12.58,13.79,,,,,,0.45,-23.3,2026-06-26,4.25,8,10,0,20,0,8,3,5,54,C,48
018260.KS,018260,삼성에스디에스,146940,190800.0,177095.5,7.7384800856035305,362000.0,-47.29281767955801,28.98814949862893,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,0.34,16.5,18.36,21.0,1.48,7.89,31.09,0.74,5.05,4.66,8962 -> 9783 -> 9816,139299.0,9571.0,7827.0,6.87,5.62,,,,,,61.76,4.66,2026-06-26,4.25,4,6,6,0,4,2,3,3,28,D,49
035720.KS,035720,카카오,146770,33050.0,54275.25,-39.10668306456442,70400.0,-53.05397727272727,31.39931740611334,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,795.16,180.5,28.15,21.0,1.27,4.59,82.49,2.99,47.79,,124 -> 1110,80991.0,7320.0,5180.0,9.04,6.4,,,,,,0.03,,2026-06-26,4.25,4,6,0,20,0,10,3,3,46,C,50
003670.KS,003670,포스코퓨처엠,142847,159000.0,204412.0,-22.215916873764748,296000.0,-46.28378378378378,36.54419066533752,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,7.52,726.86,9.58,707.0,3.45,0.92,102.65,-20.57,4585.71,,359 -> 386,29387.0,328.0,365.0,1.12,1.24,,,,,,94.02,,2026-06-26,4.25,0,0,0,0,0,5,5,3,13,D,51
272210.KS,272210,한화시스템,139044,72400.0,87225.5,-16.996749803669797,162700.0,-55.500921942224956,39.26788685523211,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-46.69,20.41,9.85,61.0,2.78,6.6,106.5,30.69,-45.33,-16.73,1849 -> 2405 -> 1282,36642.0,1199.0,2091.0,3.27,5.71,,,,,,,-16.73,2026-06-26,4.25,0,3,6,0,0,0,5,3,17,D,52
307950.KS,307950,현대오토에버,139039,505000.0,377507.0,33.77235389012654,938000.0,-46.16204690831556,21.311475409835353,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,6.84,37.41,2.21,67.0,7.64,10.27,92.31,14.5,13.77,15.08,5024 -> 6228 -> 6654,42521.0,2553.0,1868.0,6.0,4.39,,,,,,9.8,15.08,2026-06-26,4.25,0,0,12,0,12,5,1,3,33,D,53
