yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000250.KQ,000250,삼천당제약,43185,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,183600.0,376075.0,-51.17995080768464,1184000.0,-84.49324324324324,41.00817438691707,-30.19,-62.18,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,1036.5,7.41,412.84,14.13,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,,19.28,4.2,9.66,2041.29,236.43,,의약품 제조업,의약품 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,11
039030.KQ,039030,이오테크닉스,42379,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,332000.0,364340.0,-8.876324312455399,612000.0,-45.751633986928105,28.89221556886106,-34.65,-29.44,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,3.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,1.31,38.92,9.11,8.24,13.05,-16.79,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,6,10,12,10,3,3,44,C,12
298380.KQ,298380,에이비엘바이오,42326,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,75200.0,147897.0,-49.15380298450949,245500.0,-69.36863543788188,40.99037138926308,-25.77,-53.44,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,,12.88,-78.0,24.52,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,14.06,-9.41,,74.4,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,1,6,D,13
222800.KQ,222800,심텍,40236,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,107700.0,71163.75,51.341097117563365,157300.0,-31.532104259376986,44.40874035989317,-15.53,41.34,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,,10.38,28.0,6.77,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,7,9,9,,19.58,4.21,9.7,43.0,60.81,,전자부품 제조업,전자부품 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,5,10,D,14
141080.KQ,141080,리가켐바이오,38389,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,104200.0,168093.5,-38.0106904788109,213500.0,-51.194379391100696,32.77680140597137,-22.53,-47.21,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,,483.55,9.57,-70.0,8.92,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,8,2,7,7,,,28.92,-31.49,,-69.16,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-16,4.25,0,0,0,0,0,0,3,3,6,D,15
095610.KQ,095610,테스,37616,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,189900.0,79710.5,138.23712058009923,217500.0,-12.689655172413794,52.509124087587885,7.84,115.8,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.45,26.4,850.0,150.74,OpenDART,11.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,1.25,38.92,8.7,8.16,7.91,5.86,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,16,10,15,10,5,5,61,B,16
440110.KQ,440110,파두,35271,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,70400.0,51548.25,36.57107661268812,128300.0,-45.12860483242401,41.2011173184277,-32.31,19.32,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,,,28.49,,106.74,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,84.66,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,,,5,3,4,4,,20.98,3.82,9.64,,2694.24,,반도체 제조업,반도체 제조업,2026-07-16,4.25,0,0,0,0,0,0,5,3,8,D,17
403870.KQ,403870,HPSP,34977,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,42500.0,41741.25,1.8177462342407091,83500.0,-49.101796407185624,38.48758465010071,-28.45,-4.49,daily_close,NXT 미확인,2026-07-16 22:15 KST,,,-16.35,35.96,33.27,30.0,11.79,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.18,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,4.0,,,68000.0,,,60.0,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,OFS,11011,OpenDART,2025.0,11011,19,14,18,18,,40.5,8.7,8.16,-25.93,35.52,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,20,0,0,0,5,3,28,D,18
214450.KQ,214450,파마리서치,34961,우량기업부,재생의약품,KOSDAQ,주권,KRX,336000.0,388752.5,-13.569687654741768,711000.0,-52.742616033755276,53.05623471882278,12.75,7.52,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,65.07,24.5,6.46,18.0,5.58,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.1,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,481429.0,,,43.28,,,Naver/FnGuide,,KRW,2026-07-16,2025.0,CFS,11011,OpenDART,2025.0,11011,4,1,3,3,0.28,,11.3,4.81,,-50.62,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-16,4.25,8,0,20,20,15,10,5,3,81,A,19
084370.KQ,084370,유진테크,33640,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,146600.0,112931.5,29.813205350145882,206500.0,-29.007263922518163,43.60753221010599,-17.03,10.56,nxt_web_latest,NXT 체결가,2026-07-16 22:01 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.16,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,,38.92,8.7,8.16,31.04,12.07,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-16,4.25,0,0,6,0,15,0,5,5,31,D,20
