yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000250.KQ,000250,삼천당제약,42223,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,180000.0,376369.0,-52.17459461326517,1184000.0,-84.7972972972973,31.21387283236713,-32.08,-67.57,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,1036.5,7.41,412.84,14.13,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.03,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,2025.0,11011,4.28,9.66,7,5,6,6,230.14,19.28,2041.29,,의약품 제조업,의약품 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,1,4,D,11
095610.KQ,095610,테스,42108,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,221500.0,78084.25,183.6679612085664,217500.0,1.839080459770115,62.684501845014395,30.91,145.84,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.38,26.4,850.0,150.74,OpenDART,11.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,1.25,2025.0,11011.0,8.33,7.42,20,15,19,19,10.56,38.84,8.14,504.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,16,10,15,10,3,0,54,C,12
298380.KQ,298380,에이비엘바이오,41654,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,74700.0,148128.5,-49.570811828918806,245500.0,-69.57230142566192,33.557951482473456,-24.32,-54.4,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,,12.88,-78.0,24.52,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,17.37,-9.41,8,2,7,7,41.16,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.57,0,0,0,0,0,0,3,1,4,D,13
222800.KQ,222800,심텍,40461,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,111200.0,70344.5,58.07916752553505,157300.0,-29.307056579783854,46.477850399414294,-12.16,56.4,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,,10.38,28.0,6.77,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.09,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,4.22,9.15,9,6,8,8,60.43,26.29,6.5,,전자부품 제조업,전자부품 제조업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,14
141080.KQ,141080,리가켐바이오,38611,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,105600.0,168507.5,-37.33216622405531,213500.0,-50.53864168618267,29.163071613456353,-24.41,-45.28,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,483.55,9.57,-70.0,8.92,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,,28.92,-31.49,8,2,7,7,-69.16,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-14,4.57,0,0,0,0,0,0,3,3,6,D,15
440110.KQ,440110,파두,35722,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,71300.0,50985.75,39.84299534673904,128300.0,-44.427123928293064,37.33108108107225,-29.34,17.08,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,,,28.49,,106.74,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,4.0,,,130000.0,,,82.33,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011,OpenDART,,,,4.67,9.64,5,3,4,4,2185.65,21.0,,,반도체 제조업,반도체 제조업,2026-07-14,4.57,0,0,0,0,0,0,5,5,10,D,16
028300.KQ,028300,HLB,35563,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,27400.0,50131.75,-45.34401851122293,92500.0,-70.37837837837839,24.999999999992596,-43.33,-59.82,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,,,19.71,,16.07,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,,,,3,2,2,2,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-14,4.57,0,0,0,0,0,0,1,1,2,D,17
403870.KQ,403870,HPSP,34566,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,42000.0,41599.25,0.9633587143998991,83500.0,-49.700598802395206,38.53333333331895,-36.65,-1.29,daily_close,NXT 미확인,2026-07-14 22:01 KST,,,-16.35,35.96,31.72,35.0,13.93,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.19,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,8.33,7.42,20,15,19,19,67.23,39.0,-10.26,-6.21,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,20,0,0,0,5,3,28,D,18
084370.KQ,084370,유진테크,33686,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,154800.0,111982.5,38.235885071328106,206500.0,-25.036319612590802,45.90707964601415,-12.39,20.09,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.15,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,5.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,8.33,7.42,20,15,19,19,17.05,38.84,31.31,31.84,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-14,4.57,0,0,6,0,15,0,5,5,31,D,19
214370.KQ,214370,케어젠,33679,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,61700.0,85078.5,-27.47874022226532,150100.0,-58.89407061958695,41.38576779025132,-17.51,-38.3,nxt_web_latest,NXT 체결가,2026-07-14 21:52 KST,,,-37.87,92.25,3.65,175.17,17.37,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.71,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,,2025.0,11011.0,18.5,-23.48,8,1,7,7,-6.11,,,-29.05,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-14,4.57,0,0,6,0,0,0,5,3,14,D,20
