yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
051910.KS,051910,LG화학,205776,291500.0,342140.0,-14.8009586718887,429500.0,-32.13038416763679,32.506887052339096,regularMarketPrice,,29.2,37.29,101.0,0.76,-5.5,114.54,-5.68,34.98,,-,,,,,,,,,,,,,2026-06-23,4.51,0,10,0,0,0,0,3,5,18,D,40
017670.KS,017670,SK텔레콤,193096,89900.0,71312.5,26.064855390008763,125200.0,-28.19488817891374,14.343434343430289,daily_close,-67.28,15.89,75.45,17.0,1.52,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,,,,,,,,,,,,-38.32,2026-06-23,4.51,8,6,0,0,0,0,1,5,20,D,41
033780.KS,033780,KT&G,179176,172600.0,154290.0,11.867262946399638,189000.0,-8.677248677248677,36.95652173911918,daily_close,-0.02,13.64,51.25,15.0,2.01,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,,,,,,,,,,,,16.47,2026-06-23,4.51,8,3,12,0,12,0,5,0,40,C,42
079550.KS,079550,LIG디펜스앤에어로스페이스,177980,809000.0,603475.0,34.056920336385105,1020000.0,-20.68627450980392,56.97478991596504,regularMarketPrice,15.46,25.03,25.57,51.0,12.33,19.2,446.35,31.46,42.97,20.33,7953 -> 9974 -> 11516,,,,,,,,,,,3.3,20.33,2026-06-23,4.51,0,0,16,0,12,8,3,5,44,C,43
011200.KS,011200,HMM,175347,18590.0,20662.55,-10.030465745999402,25950.0,-28.362235067437382,45.127118644000866,daily_close,-61.33,8.23,7.83,14.0,0.68,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,,,,,,,,,,,,3.39,2026-06-23,4.51,8,10,6,0,4,0,5,5,38,D,44
138040.KS,138040,메리츠금융지주,175045,104600.0,114067.0,-8.299508183786722,146200.0,-28.454172366621066,47.74774774772767,regularMarketPrice,6.73,7.76,14.19,8.0,1.66,22.53,1102.87,16.25,-9.92,10.07,10480 -> 11897 -> 12698,,,,,,,,,,,1.19,10.07,2026-06-23,4.51,15,6,20,10,8,5,5,5,74,A,45
267250.KS,267250,HD현대,166675,211000.0,225741.0,-6.530049924470964,310500.0,-32.045088566827694,26.181818181815515,daily_close,89.12,15.56,26.91,8.0,1.49,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,,,,,,,,,,,0.09,90.79,2026-06-23,4.51,15,6,12,20,15,10,3,5,86,S,46
024110.KS,024110,기업은행,161478,20250.0,21264.7,-4.77175788983621,28550.0,-29.071803852889666,49.21874999989233,daily_close,2.53,4.67,13.68,6.0,0.46,7.7,1258.51,-9.91,1.71,0.77,3348 -> 3316 -> 3400,,,,,,,,,,,2.37,0.77,2026-06-23,4.51,15,10,6,0,0,2,5,5,43,C,47
096770.KS,096770,SK이노베이션,158402,93700.0,115190.0,-18.65613334490841,149800.0,-37.44993324432577,24.776785714277977,regularMarketPrice,,53.47,14.47,10.0,0.73,-14.42,190.2,8.11,26.15,,-,,,,,,,,,,,,,2026-06-23,4.51,12,10,0,0,0,0,1,5,28,D,48
272210.KS,272210,한화시스템,154724,81900.0,86819.0,-5.66581047927297,162700.0,-49.661954517516904,37.35725938008935,daily_close,-46.69,20.41,9.56,77.0,3.45,6.6,106.5,30.69,-45.33,-16.73,1849 -> 2405 -> 1282,,,,,,,,,,,,-16.73,2026-06-23,4.51,0,0,6,0,0,0,5,3,14,D,49
003670.KS,003670,포스코퓨처엠,153788,172900.0,204126.0,-15.297414342122023,296000.0,-41.58783783783784,28.01418439715964,daily_close,7.52,726.86,9.48,950.0,4.28,0.92,102.65,-20.57,4585.71,,359 -> 386,,,,,,,,,,,126.33,,2026-06-23,4.51,0,0,0,0,0,5,3,5,13,D,50
035720.KS,035720,카카오,151640,34250.0,54731.25,-37.42149137832591,70400.0,-51.34943181818182,25.588235294096577,daily_close,795.16,180.5,28.25,24.0,1.45,4.59,82.49,2.99,47.79,,124 -> 1110,,,,,,,,,,,0.03,,2026-06-23,4.51,4,6,0,20,0,10,3,3,46,C,51
