yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
064760.KQ,064760,티씨케이,30463,,276000.0,206812.0,33.4545384213682,348500.0,-20.803443328550934,56.934306569337245,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-2.77,18.81,67.29,28.0,5.77,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,1.0,22.9,1430.0,159.87,OpenDART,0.0,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,OFS,11011,,6.91,,,2026-06-30,4.25,0,0,12,0,4,0,3,5,24,D,33
214150.KQ,214150,클래시스,30399,,47100.0,54287.0,-13.238896973492734,75600.0,-37.698412698412696,56.903765690343235,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,32.76,30.47,70.61,17.0,5.82,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,1.9,49.4,1000.0,651.53,OpenDART,97.29,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.52,32.57,,,2026-06-30,4.25,8,0,20,20,15,10,3,5,81,A,34
005290.KQ,005290,동진쎄미켐,29715,,59400.0,46461.0,27.84916381481242,66000.0,-10.0,58.94428152490248,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-35.98,13.86,15.4,23.09,2.64,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,1.72,33.71,650.0,334.0,OpenDART,55.91,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-11.78,,,2026-06-30,4.25,4,3,6,0,0,0,3,5,21,D,35
319400.KQ,319400,현대무벡스,29514,,26200.0,23069.0,13.572326498764575,46350.0,-43.47357065803668,34.21985815601137,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-56.77,99.75,2.0,294.44,18.79,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.3,48.8,50.0,55.07,OpenDART,13.62,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,65.83,,,2026-06-30,4.25,0,0,6,0,15,0,3,5,29,D,36
357780.KQ,357780,솔브레인,28430,,365500.0,345150.0,5.895987251919455,501000.0,-27.045908183632733,53.72928176795372,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-33.25,18.26,27.01,19.0,2.57,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.53,22.77,2350.0,179.98,OpenDART,6.42,4.0,False,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-22.12,,,2026-06-30,4.25,4,3,6,0,0,0,5,5,23,D,37
237690.KQ,237690,에스티팜,27586,,132300.0,125867.0,5.110950447694789,168700.0,-21.57676348547718,60.77844311375972,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,52.02,53.05,12.85,40.0,4.5,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.33,18.3,500.0,100.76,OpenDART,0.0,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.77,61.23,,,2026-06-30,4.25,0,0,12,16,15,10,3,5,61,B,38
089970.KQ,089970,브이엠,27075,,110300.0,39058.25,182.39872498127795,109300.0,0.9149130832570906,66.32302405497218,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,29.68,13.48,34.0,13.91,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,1.0,False,1.0,OpenDART,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,16,0,0,0,1,0,17,D,39
131290.KQ,131290,티에스이,27045,,250000.0,104604.25,138.996025496096,270500.0,-7.578558225508318,59.06862745097633,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-10.0,1517.12,11.15,37.54,6.35,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.8,12.4,450.0,49.78,OpenDART,-3.45,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,1672.52,,,2026-06-30,4.25,0,0,12,0,15,0,3,0,30,D,40
290650.KQ,290650,엘앤씨바이오,24380,,90000.0,67384.75,33.56137701779706,118300.0,-23.922231614539307,61.31805157591893,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,192.78,8.73,22.06,,10.97,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.08,,50.0,11.34,OpenDART,0.0,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,10,3,5,18,D,41
420770.KQ,420770,기가비스,24362,,191800.0,67193.0,185.4464006667361,192200.0,-0.20811654526534862,84.55467869220762,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,353.16,47.97,1.54,148.76,12.09,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,256.54,210.21,397.82,282.74,115.08,2.6,65.63,800.0,101.41,OpenDART,0.0,3.0,False,3.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.42,-33.36,,,2026-06-30,4.25,0,0,6,20,0,10,1,0,37,D,42
